s,t
11am - 8pm,"[{'close': {'day': 0, 'time': '-1-1'}, 'open': {'day': 0, 'time': '11am'}}, {'close': {'day': 1, 'time': '-1-1'}, 'open': {'day': 1, 'time': '11am'}}, {'close': {'day': 2, 'time': '-1-1'}, 'open': {'day': 2, 'time': '11am'}}, {'close': {'day': 3, 'time': '-1-1'}, 'open': {'day': 3, 'time': '11am'}}, {'close': {'day': 4, 'time': '-1-1'}, 'open': {'day': 4, 'time': '11am'}}, {'close': {'day': 5, 'time': '-1-1'}, 'open': {'day': 5, 'time': '11am'}}, {'close': {'day': 6, 'time': '-1-1'}, 'open': {'day': 6, 'time': '11am'}}]"
12:00 - 20:00,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1200'}}]"
12:00-20:00,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1200'}}]"
12:00pm~8:30pm,"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1200'}}]"
1200-2000,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1200'}}]"
1200-2030,"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1200'}}]"
1200-2100,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1200'}}]"
1230-2230,"[{'close': {'day': 0, 'time': '2230'}, 'open': {'day': 0, 'time': '1230'}}, {'close': {'day': 1, 'time': '2230'}, 'open': {'day': 1, 'time': '1230'}}, {'close': {'day': 2, 'time': '2230'}, 'open': {'day': 2, 'time': '1230'}}, {'close': {'day': 3, 'time': '2230'}, 'open': {'day': 3, 'time': '1230'}}, {'close': {'day': 4, 'time': '2230'}, 'open': {'day': 4, 'time': '1230'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '1230'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '1230'}}]"
14:00 - 19:00,"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1400'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1400'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1400'}}]"
9:00 - 17:00,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '9:00'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '9:00'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '9:00'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '9:00'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '9:00'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '9:00'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '9:00'}}]"
